C -1:8.175799
C#-1:8.661957
D -1:9.177024
D#-1:9.722718
E -1:10.30086
F -1:10.91338
F#-1:11.56233
G -1:12.24986
G#-1:12.97827
A -1:13.75000
A#-1:14.56762
B -1:15.43385
C  0:16.35160
C# 0:17.32391
D  0:18.35405
D# 0:19.44544
E  0:20.60172
F  0:21.82676
F# 0:23.12465
G  0:24.49971
G# 0:25.95654
A  0:27.50000
A# 0:29.13524
B  0:30.86771
C  1:32.70320
C# 1:34.64783
D  1:36.70810
D# 1:38.89087
E  1:41.20344
F  1:43.65353
F# 1:46.24930
G  1:48.99943
G# 1:51.91309
A  1:55.00000
A# 1:58.27047
B  1:61.73541
C  2:65.40639
C# 2:69.29566
D  2:73.41619
D# 2:77.78175
E  2:82.40689
F  2:87.30706
F# 2:92.49861
G  2:97.99886
G# 2:103.8262
A  2:110.0000
A# 2:116.5409
B  2:123.4708
C  3:130.8128
C# 3:138.5913
D  3:146.8324
D# 3:155.5635
E  3:164.8138
F  3:174.6141
F# 3:184.9972
G  3:195.9977
G# 3:207.6523
A  3:220.0000
A# 3:233.0819
B  3:246.9417
C  4:261.6256
C# 4:277.1826
D  4:293.6648
D# 4:311.1270
E  4:329.6276
F  4:349.2282
F# 4:369.9944
G  4:391.9954
G# 4:415.3047
A  4:440.0000
A# 4:466.1638
B  4:493.8833
C  5:523.2511
C# 5:554.3653
D  5:587.3295
D# 5:622.2540
E  5:659.2551
F  5:698.4565
F# 5:739.9888
G  5:783.9909
G# 5:830.6094
A  5:880.0000
A# 5:932.3275
B  5:987.7666
C  6:1046.502
C# 6:1108.731
D  6:1174.659
D# 6:1244.508
E  6:1318.510
F  6:1396.913
F# 6:1479.978
G  6:1567.982
G# 6:1661.219
A  6:1760.000
A# 6:1864.655
B  6:1975.533
C  7:2093.005
C# 7:2217.461
D  7:2349.318
D# 7:2489.016
E  7:2637.020
F  7:2793.826
F# 7:2959.955
G  7:3135.963
G# 7:3322.438
A  7:3520.000
A# 7:3729.310
B  7:3951.066
C  8:4186.009
C# 8:4434.922
D  8:4698.636
D# 8:4978.032
E  8:5274.041
F  8:5587.652
F# 8:5919.911
G  8:6271.927
G# 8:6644.875
A  8:7040.000
A# 8:7458.620
B  8:7902.133
C  9:8372.018
C# 9:8869.844
D  9:9397.273
D# 9:9956.063
E  9:10548.08
F  9:11175.30
F# 9:11839.82
G  9:12543.85
G# 9:13289.75
A  9:14080.00
A# 9:14917.24
B  9:15804.27
C 10:16744.04
C#10:17739.69
D 10:18794.55
D#10:19912.13
E 10:21096.16
F 10:22350.61
F#10:23679.64
G 10:25087.71
G#10:26579.50
A 10:28160.00
A#10:29834.48
B 10:31608.53
